Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Water,0.083,0.0167,70,66.17710843,32,51,3,3,0,0,0,0,0.19,25.85,0.5,200.52,0.21,3646.79,3.768,0.74,1229.13,33.46,2141.92,0.249,0.0501,0.0501,1.9038,0.9519
Water,0.083,0.033,70,63.55373494,32,44.16,4,3,0,0,0,0,0.39,29.35,0.32,226.28,0.38,6551.12,3.768,0.42,2208.03,44.85,2870.82,0.249,0.132,0.132,5.016,1.60512
Water,0.083,0.05,70,60.5,32,39.885,6,3,0,0,0,0,0.599,30.52,0.25,250.85,0.64,10918.54,3.768,0.31,3680.05,57.91,3706.21,0.249,0.3,0.249,9.462,2.3655
Water,0.083,0.066,70,62.4,32,35.58409091,8,3,0,0,0,0,0.79,31.04,0.2,271.65,0.85,14558.78,3.768,0.25,4906.98,66.87,4279.63,0.249,0.528,0.249,9.462,1.8924
Water,0.083,0.0833,70,63.16,32,34.04460984,10,3,0,0,0,0,0.99,31.19,0.18,297.34,1.06,18190.26,3.768,0.22,6130.96,74.75,4783.74,0.249,0.833,0.249,9.462,1.70316
Al2O3,0.083,0.0167,70,64.08726104,32,54.04,4,3,0.05,80,60,1500,0.17,23.89,0.58,216.82,0.21,3726.81,3.48,0.93,1256.09,33.56,2245.8,0.249,0.0668,0.0668,2.5384,1.472272
Al2O3,0.083,0.033,70,60.68313253,32,46.06,5,3,0.05,80,60,1500,0.34,28.31,0.37,233.92,0.38,6694.82,3.48,0.49,2256.46,44.94,3010,0.249,0.165,0.165,6.27,2.3199
Al2O3,0.083,0.05,70,59.36,32,39.5696,7,3,0.05,80,60,1500,0.51,30.04,0.28,247.52,0.64,11158.03,3.48,0.35,3760.77,58.1,3885.97,0.249,0.35,0.249,9.462,2.64936
Al2O3,0.083,0.066,70,60.88,32,35.8230303,9,3,0.05,80,60,1500,0.69,30.38,0.24,278.02,0.85,14878.11,3.48,0.29,5014.61,67.06,4887.27,0.249,0.594,0.249,9.462,2.27088
Al2O3,0.083,0.0833,70,62.02,32,34.16852559,11,3,0.05,80,60,1500,0.86,30.54,0.21,307.39,1.06,18589.27,3.48,0.26,6265.44,74.96,5015.76,0.249,0.9163,0.249,9.462,1.98702
Al2O3,0.083,0.0167,70,58.40389558,32,66.58,5,3,0.25,80,60,1500,0.11,13.74,0.91,365.61,0.21,3929.46,2.74,2.5,1324.41,33.65,2568.43,0.249,0.0835,0.0835,3.173,2.88743
Al2O3,0.083,0.033,70,52.17204819,32,54.42,6,3,0.25,80,60,1500,0.21,23.46,0.59,279.81,0.38,7058.92,2.74,0.96,2379.18,45.11,3442.47,0.249,0.198,0.198,7.524,4.43916
Al2O3,0.083,0.05,70,52.52,32,42.8813,8,3,0.25,80,60,1500,0.31,26.3,0.46,288.32,0.64,11764.86,2.74,0.66,3965.29,58.23,4444.21,0.249,0.4,0.249,9.462,4.35252
Al2O3,0.083,0.066,70,55.56,32,37.44781818,10,3,0.25,80,60,1500,0.43,27.66,0.38,301.51,0.85,15687.26,2.74,0.52,5287.33,67.24,5131.86,0.249,0.66,0.249,9.462,3.59556
Al2O3,0.083,0.0833,70,57.08,32,35.21836735,12,3,0.25,80,60,1500,0.53,27.99,0.34,336.02,1.06,19600.26,2.74,0.46,6606.19,75.16,5736.3,0.249,0.9996,0.249,9.462,3.21708
Al2O3,0.083,0.0167,70,55.62592771,32,67.72,6,3,0.5,80,60,1500,0.069,11.97,0.94,284.35,0.21,4053.85,2.47,2.99,1366.33,33.83,2864.12,0.249,0.1002,0.1002,3.8076,3.579144
Al2O3,0.083,0.033,70,37.56722892,32,66.96,7,3,0.5,80,60,1500,0.14,12.26,0.92,344.85,0.38,7282.37,2.47,2.87,2454.49,45.34,3838.76,0.249,0.231,0.231,8.778,8.07576
Al2O3,0.083,0.05,70,43.02,32,46.92893333,9,3,0.5,80,60,1500,0.21,20.26,0.71,376.31,0.64,12137.27,2.47,1.32,4090.82,58.54,4955.02,0.249,0.45,0.249,9.462,6.71802
Al2O3,0.083,0.066,70,47.96,32,39.55917355,11,3,0.5,80,60,1500,0.28,22.94,0.58,367.32,0.85,16183.84,2.47,0.97,5454.69,67.59,5722.63,0.249,0.726,0.249,9.462,5.48796
Al2O3,0.083,0.0833,70,50.24,32,36.21903619,14,3,0.5,80,60,1500,0.35,24.13,0.52,388.65,1.06,20220.7,2.47,0.82,6815.31,75.56,6396.66,0.249,1.1662,0.249,9.462,4.92024
Water,0.083,0.0167,78,75.80284337,36,52.38,2,3,0,0,0,0,0.19,31.82,0.39,140.25,0.21,3646.79,3.768,0.51,1075.65,31.31,2003.73,0.249,0.0334,0.0334,1.4028,0.547092
Water,0.083,0.033,78,73.65831325,36,46.92,3,3,0,0,0,0,0.39,34.35,0.26,172.3,0.38,6551.12,3.768,0.32,1932.3,41.96,2685.59,0.249,0.099,0.099,4.158,1.08108
Water,0.083,0.05,78,69.6,36,44.3664,5,3,0,0,0,0,0.599,35.22,0.2,196.4,0.64,10918.54,3.768,0.24,3220.51,54.17,3467.09,0.249,0.25,0.249,10.458,2.0916
Water,0.083,0.066,78,70.86,36,39.84818182,7,3,0,0,0,0,0.79,35.69,0.17,214.45,0.85,14558.78,3.768,0.19,4294.23,62.56,4003.56,0.249,0.462,0.249,10.458,1.77786
Water,0.083,0.0833,78,71.7,36,38.09243697,9,3,0,0,0,0,0.99,35.75,0.15,238.51,1.06,18190.26,3.768,0.17,5365.37,69.92,4475.1,0.249,0.7497,0.249,10.458,1.5687
Al2O3,0.083,0.0167,78,74.28173494,36,54.48,3,3,0.05,80,60,1500,0.17,30.51,0.44,142.55,0.21,3726.81,3.48,0.61,1099.24,31.39,2100.91,0.249,0.0501,0.0501,2.1042,0.925848
Al2O3,0.083,0.033,78,71.76578313,36,47.76,4,3,0.05,80,60,1500,0.34,33.85,0.28,164.96,0.38,6694.82,3.48,0.35,1974.69,42.08,2815.85,0.249,0.132,0.132,5.544,1.55232
Al2O3,0.083,0.05,78,68.34,36,44.0178,6,3,0.05,80,60,1500,0.51,34.65,0.23,195.78,0.64,11158.03,3.48,0.28,3291.15,54.33,3635.25,0.249,0.3,0.249,10.458,2.40534
Al2O3,0.083,0.066,78,69.6,36,39.96136364,8,3,0.05,80,60,1500,0.69,34.73,0.2,231.81,0.85,14878.11,3.48,0.25,4388.41,62.74,4197.73,0.249,0.528,0.249,10.458,2.0916
Al2O3,0.083,0.0833,78,70.44,36,38.25983193,10,3,0.05,80,60,1500,0.86,34.99,0.18,252.13,1.06,18589.27,3.48,0.22,5483.05,70.13,4692.15,0.249,0.833,0.249,10.458,1.88244
Al2O3,0.083,0.0167,78,69.77474699,36,66.66,4,3,0.25,80,60,1500,0.11,22.26,0.73,201.67,0.21,3929.46,2.74,1.384,1159.03,31.48,2402.72,0.249,0.0668,0.0668,2.8056,2.048088
Al2O3,0.083,0.033,78,64.91927711,36,55.74,5,3,0.25,80,60,1500,0.21,29.19,0.47,193.53,0.38,7058.92,2.74,0.66,2082.08,42.19,3220.37,0.249,0.165,0.165,6.93,3.2571
Al2O3,0.083,0.05,78,62.04,36,47.3544,7,3,0.25,80,60,1500,0.31,31.3,0.38,220.82,0.64,11764.86,2.74,0.51,3470.14,54.47,4157.48,0.249,0.35,0.249,10.458,3.97404
